SAP_TPLNR,SAP_TPLMA,SAP_TPLKZ,SAP_FLTYP,SAP_PLTXT,SAP_Z_TAG_WW,SAP_Z_DL_ASSOCIE
S00104701-B10,S00104701,ZOBBR,S,BLATON CV14-SD8,,
S00172201-B02,,ZOBBR,S,NANINNE LT B R100+HYDROPHORE,,
S00171701-B02,,ZOBBR,S,LOYERS LT B R40 MOSANVILLE,,
S00171701-B03,,ZOBBR,S,LOYERS LT B R50 BRUMAGNE R6,,
S00171801-B03,,ZOBBR,S,WÉPION LT B CE200 CAMPS,,
S00171801-B04,,ZOBBR,S,WÉPION LT B CE250 JONCS,,
S00171801-B05,,ZOBBR,S,WÉPION LT B CHT+SP CARACOLE,,
S00166901-B02,,ZOBBR,S,ROCHETTES UP B R125+ST PRINC,,
S00168401-B02,,ZOBBR,S,NAMUR LT B BOMEL GERMINAL SP+R25+PC,,
S00168401-B03,,ZOBBR,S,NAMUR LT B SP TIENNES BICHES,,
S00168401-B04,,ZOBBR,S,NAMUR LT B R100 VAUBAN,,
S00168401-B06,,ZOBBR,S,NAMUR LT B R500 BAUCE,,
S00168401-B08,,ZOBBR,S,NAMUR LT B CE105 CITADELLE,,
S00168401-B09,,ZOBBR,S,NAMUR LT B CE105 CITADELLE,,
S00168601-B02,,ZOBBR,S,JAMBES LT B R+SP+HT BOIS BRÛLÉ,,
S00166701-B02,,ZOBBR,S,FLAWINNE UP B ST+R+SP,,
S00166801-B02,,ZOBBR,S,JAMBES UP B ST+SP+CHT,,
S00166801-B04,,ZOBBR,S,JAMBES UP B P2/PC,,
S00170301-B02,,ZOBBR,S,FLAWINNE LT B R+SP BELLEVUE,,
S00170301-B05,,ZOBBR,S,FLAWINNE LT R MUGUETS CV B,,
S00168601-B04,,ZOBBR,S,JAMBES LT B CE300 ERPENT,,
S00168705-B01,,ZOBBR,S,BOUGE LT B R4000+CHT+SP+PC,,
S00165101-B05,,ZOBBR,S,BIRON UP B ST+R,,
S00165201-B02,,ZOBBR,S,VÉHIR UP B P1+SP,,
S00165301-B02,,ZOBBR,S,THYNES UP B SP,,
S00165401-B03,,ZOBBR,S,ANSEREMME UP B ST+SP+CHT,,
S00165402-B01,,ZOBBR,S,ANSEREMME UP B ST+SP+CHT,,
S00166101-B02,,ZOBBR,S,PAR DELÀ UP P1 AVOCATS B,,
S00166101-B03,,ZOBBR,S,PAR DELÀ UP P2 AVOCATS B,,
S00166101-B04,,ZOBBR,S,PAR DELÀ UP B CHAMBRE MELANGE,,
S00166201-B02,,ZOBBR,S,PAYENNE UP B SP,,
S00166301-B02,,ZOBBR,S,TRUSSOGNE UP B R100+SP R1,,
S00164701-B02,,ZOBBR,S,MAIBELLE UP B SP,,
S00172601-B02,,ZOBBR,S,GEMECHENNE LT B CE,,
S00173701-B03,,ZOBBR,S,WESPIN LT BOUVIGNES R100 B,,
S00173701-B05,,ZOBBR,S,WESPIN LT B BETHLEEM SP,,
S00167201-B02,,ZOBBR,S,LADRERIE UP B R62+SP,,
S00167201-B03,,ZOBBR,S,LADRERIE UP B P1 LUSTINMEUSE,,
S00170101-B02,,ZOBBR,S,SORINNES LT B R40,,
S00170101-B03,,ZOBBR,S,SORINNES LT B R70,,
S00171201-B02,,ZOBBR,S,BOIS DE VILLERS B SU BEAUVALLON,,
S00169601-B02,,ZOBBR,S,CINEY LT B R1000 TERSOIT,,
S00168712-B01,,ZOBBR,S,NAMUR AV ALBERT PREMIER PC B,,
