sig_num_sap,sig_nom_bapteme,sig_capacite_totale,sig_cote_sol,sig_proprietaire,sig_gestionnaire,sig_annee_pose,indice_position,cellule_subnet,code_fonction,commentaire,centre_exploit,commune,adresse,precloca,coord_x,coord_y,gps_lat,gps_long,diponibilite,derctrl,proctrl,decompte,diamtre_trap,entreprise,entreprise_autre,implantation,acces,largeur,longueur,hauteur,alim_elec,mm_lien,stationnement,zf_nom,zone_delestage,ident,objectid,revetement,valide,nature,diam_nom,materiau,calorifuge
S00168411-B01,001684-B09,800,143.1000061,1014,1014,1900,1,,JH,,,92094,,,683551.90721992,627298.44788291,50.45551235,4.84111529,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={e2f101b0-a818-4d5a-b0bd-437e86562e3a},,3,,BAT-1,1,X,,,,,
001638-B01,,,,1014,1014,1900,1,,,,,92094,,,685121.87997108,626554.06025051,50.44859952,4.86299063,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={b6b86b2c-ed60-4191-8b6c-938089979f8c},,3,,BAT-2,2,X,,,,,
S00166801-B01,001668-B01,,,1014,1014,1900,1,,JQH,,,92094,,,685197.48005987,626578.28938491,50.44877895,4.86413654,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={42331b0b-5116-4ecf-b143-9faa10c07443},,3,,BAT-3,3,X,,,,,
S00166801-B12,001668-B11,300,81.7,1014,1014,1900,1,,,,,92094,,,685172.22572626,626563.77851277,50.44874307,4.8638623,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={a1d5b1d6-5e39-4a58-b847-0d491c9d74d2},,3,,BAT-4,4,X,,,,,
S00168406-B01,S00168406-B01,,,1014,1014,1900,1,,J,,,92094,Rue Fernand Derenne,,684975.72420804,629647.8111298,50.47658117,4.86136354,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={a188334e-10bf-4c15-b0b5-deab66430b7a},,3,,BAT-5,5,X,2024-09-26T00:00:00,,,,
S00168404-B01,001684-B04,1200,140,1014,1014,1900,1,,H,,,92094,Rue Fernand Derenne,,684987.474097,629643.06200379,50.47649736,4.86157949,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={51d857d4-4ef7-496d-9784-a98f7b882786},,3,,BAT-6,6,X,2024-09-26T00:00:00,,,,
S00168403-B01,001684-B03,100,185.11999512,1014,1014,1900,1,,H,,,92094,,,683809.34052962,627229.65391191,50.45490732,4.84474077,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={2be3a55b-8fb9-41f7-8b6f-d2ace899042f},,3,,BAT-7,7,X,,,,,
S00118502-B01,S00118502-B01,,,1014,1014,1900,4,,L,,,55085,,,641258.25623501,636488.93573173,50.53904485,4.24538954,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={4e89b7e4-6496-4f9c-bbec-e3bdcf4753c4},,15,,BAT-8,8,X,,,,,
S00127801-B01,S00127801-B01,,,1014,1014,1900,4,,Q,,,55050,,,633798.977422,638001.14536769,50.55273383,4.13957896,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={16bf3211-18f7-46a4-b826-bdbde7583481},,16,,BAT-9,9,X,,,,,
S00285301-B01,,,,1014,1014,1900,4,,l,,,25044,,,642888.3875367,646431.96137358,50.62846729,4.26809647,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={030dcea6-321a-4f97-a224-6204e5f493fb},,15,,BAT-10,10,X,,,,,
