sig_ident,sig_nom_normalise,sig_num_dl,sig_pdc_perfo,sig_source_tg,sig_type_tg,sig_code_cell_am,sig_code_cell_av,sig_tag_tg,sig_commune,sig_nom_sig,sig_type_pdc,sig_statut_mes,sig_type_telegestion,sig_type_compteur,sig_marque_compteur,sig_modele_compteur,sig_marque_datalogger,sig_modele_datalogger,sig_geometry_wkt,sig_gps_x,sig_gps_y
CPT-224,STAVELOT CIRCUIT R ARR DUK EAU,DL5953,N,A000194FT2,TGC,S00217101-B01,S00217101-B01,,,,None,,,,,,,,POINT ZM (762978.5798000023 627654.9934 0 nan),5.9595680232962085,50.448714680451054
CPT-280,STAVELOT RIVAGE MOYEN R ARR RIVAGE HAUT R,DL4963,N,Z999999FT99,TGC,55100527,55100527,,,,None,,,,,,,,POINT ZM (763555.4452000037 624307.3447999991 0 nan),5.966668181160491,50.418513043646215
CPT-292,WAIMES BOTRANGE INFERIEUR ST FILTRE,DL5701,N,Botrange_ST_CM_FT002.F.PV,TGW,S00231701-B01,S00231701-B01,,,,None,,,,,,,,POINT ZM (773569.9360999987 632220.2655000016 0 nan),6.110171254200097,50.487598903834666
CPT-293,WAIMES ANDRIFOSSE SP LAVAGE,DL6702,N,Andrifosse_ST_CM_FT004.F.PV,TGW,S00231601-B01,S00231601-B01,,,,None,,,,,,,,POINT ZM (774794.8427999988 629904.4206999987 0 nan),6.126650777844824,50.466523678687025
CPT-297,VIELSALM RTE CIERREUX SECOUR LIERMINAY,DL6874,N,,NONE,55102846,55102846,,,,None,,,,,,,,POINT ZM (759472.3627000004 606995.4100000001 0 nan),5.904158199253702,50.263684435361846
CPT-302,VIELSALM BECHE ARR CAPTAGE,DL5879,N,Z004059FT1,TGC,S00230501-B01,S00230501-B01,,,,None,,,,,,,,POINT ZM (759846.8043000028 607129.6838999987 0 nan),5.90944810517803,50.26482121286299
CPT-343,ST VITH BREITFELD R EAU SERVICE,DL6939,N,Breitfeld_R_CM_FQT001,TGW,S00220901-B01,S00220901-B01,,,,None,,,,,,,,POINT ZM (777538.3096000031 607764.2965000011 0 nan),6.157729673749463,50.2669388782092
CPT-521,LIERNEUX VERLEUMONT S,DL0192,O,Verleumont_S_CM_FT001.F.PV,TGW,55102958,55102960,Verleumont_S_CM_FT001.F.PV,LIERNEUX,LIERNEUX VERLEUMONT S,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (752044.2942000031 608575.9607000016 0 nan),5.800425587861944,50.279234408042875
CPT-564,VIELSALM WEZ DES POURCEAUX R75 DEP VERS ST,DL5213,O,DL0152_3,TRD,42500574,55/7/3/001-55/7/6/003,VIELSALM_CM_FT039,VIELSALM,VIELSALM WEZ DES POURCEAUX R DEP ST,Production,EN SERVICE,TRD,COMPTEUR,ITRON,FLOSTAR,SOFREL,LS42,POINT ZM (749483.2049999982 605042.9594999999 0 nan),5.763562245126051,50.24791770514579
CPT-606,LIERNEUX BOUSSINE,DL0185,O,DL0185_1,TRD,55102953,55102965,LIERNEUX_CM_FT010,LIERNEUX,LIERNEUX BOUSSINE,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (745898.4167999998 611491.2380999997 0 nan),5.714959474909741,50.30648032603954
CPT-705,JALHAY VECQUEE R DEP ADD STAVELOT,DL6468,O,Vecquee_R_CM_FT002.F.PV,TGW,42509512,003005-B01,Vecquee_R_CM_FT002.F.PV,JALHAY,JALHAY VECQUEE R DEP ADD STAVELOT,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (762825.1027999967 630898.7586999983 0 nan),5.958391123569094,50.47790019133481
CPT-706,STAVELOT PRISE ADDUCTION WAVREUMONT PETIT,DL6822,O,HTMasta_CV_CM_FT002.F.PV,TGW,42500524,42509512,HTMasta_CV_CM_FT002.F.PV,STAVELOT,STAVELOT PRISE ADDUCTION WAVREUMONT PETIT,Adduction,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762852.0909999982 622533.7093999982 0 nan),5.9562366281464545,50.40270748101999
CPT-707,JALHAY MORFAT DEP MORFAT,DL0234,O,A000217FT2,TGC,55103411,001946-B04,JALHAY_CM_FT009,JALHAY,JALHAY MORFAT DEP MORFAT,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (762990.1164999977 631532.4125000015 0 nan),5.960908008663304,50.48356364139749
CPT-833,STAVELOT BARONHEID R ARR ADDUCTION DN250,DL4449,O,Baronheid_R_CV_CM_FT001.F.PV,TGW,S00216101-B01,42509512,Baronheid_R_CV_CM_FT001.F.PV,STAVELOT,STAVELOT BARONHEID R ARR ADDUCTION DN250,Production,EN SERVICE,TGW,INCONNU,ENDRESS HAUSER,INCONNU,,,POINT ZM (763253.4297999963 630731.6961999983 0 nan),5.964373500162091,50.47631551154839
CPT-858,WAIMES TCHENAS,DL0288,O,DL0288_1,TRD,55309402,55301000,WAIMES_CM_FT009,WAIMES,WAIMES TCHENAS,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (774044.9804000035 630789.6486000009 0 nan),6.116386569350564,50.47463991689276
CPT-860,WAIMES ANDRIFOSSE SP REF BOTRANGE INF,DL3061,O,Andrifosse_ST_CM_FT003.F.PV,TGW,42500519,S00231601-B01,Andrifosse_ST_CM_FT003.F.PV,WAIMES,WAIMES ANDRIFOSSE ST REF BOTRANGE INF,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (774796.2430000007 629902.9708999991 0 nan),6.126670008777433,50.466510348575646
CPT-861,WAIMES CHAMPAGNE REF,DL3064,O,A000142FT2,TGC,55302403,S00231801-B01,WAIMES_CM_FT005,WAIMES,WAIMES CHAMPAGNE REF,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (775408.4262999967 626770.8557000011 0 nan),6.134235926186909,50.438228253277
CPT-862,WAIMES BOTRANGE INF R ARR ANDRIFOSSE R,DL4482,O,Botrange_ST_CM_FT006.F.PV,TGW,S00231701-B01,42500519,Botrange_ST_CM_FT006.F.PV,WAIMES,WAIMES BOTRANGE INF ST ARR ANDRIFOSSE R,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (773548.7866000012 632219.1429000013 0 nan),6.109872929455955,50.48759329709297
CPT-868,VIELSALM FARNIERES ST,DL0162,O,Z004056FT1,TGC,55102819,42500588,JALHAY_CM_FT012,VIELSALM,VIELSALM FARNIERES ST,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (757462.7018999979 612289.191300001 0 nan),5.877495669858268,50.31164099637903
CPT-874,STAVELOT G DEWALQUE,DL0223,O,DL0223_1,TRD,55103155,55103166,STAVELOT_CM_FT010,STAVELOT,STAVELOT G DEWALQUE,Distribution,EN SERVICE,TRD,DEBITMETRE,ENDRESS HAUSER,PROMAG53,SOFREL,LS42,POINT ZM (761130.3440999985 621279.1545999981 0 nan),5.931649247727455,50.39176140515425
CPT-875,VIELSALM CLINIQUE,DL0157,O,DL0157_1,TRD,55102847,55102829,VIELSALM_CM_FT020,VIELSALM,VIELSALM CLINIQUE,Distribution,EN SERVICE,TRD,DEBITMETRE,ENDRESS HAUSER,PROMAG53,SOFREL,LS42,POINT ZM (760697.0244999975 608883.2311999984 0 nan),5.92188809929832,50.28042291433342
CPT-883,VIELSALM RENCHEUX R DEP,DL0145,O,DL0145_1,TRD,55102833,55102847,VIELSALM_CM_FT010,VIELSALM,VIELSALM RENCHEUX R DEP,Production,EN SERVICE,TRD,COMPTEUR,ITRON,FLOSTAR,SOFREL,LS42,POINT ZM (759001.0195999965 608878.3361000009 0 nan),5.8980960833603415,50.28069735212943
CPT-888,STAVELOT RENARDMONT SP DEP GRAV,DL3442,O,Renardmont_SP_CM_FT003.F.PV,TGW,55104190,S00218501-B01,Renardmont_SP_CM_FT003.F.PV,STAVELOT,STAVELOT RENARDMONT SP DEP GRAV,Production,EN SERVICE,TGW,DEBITMETRE,INCONNU,INCONNU,,,POINT ZM (759561.0647 621674.5086999983 0 nan),5.909700820394376,50.39561169393264
CPT-991,MALMEDY RECULEMONT CV VERS LASNENVILLE BP,DL3501,O,Reculemont_CV_CM_FT003.F.PV,TGW,55302950,42500632,Reculemont_CV_CM_FT003.F.PV,MALMEDY,MALMEDY RECULEMONT CV VERS LASNENVILLE BP,Adduction,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (767995.5152999982 620506.3861999996 0 nan),6.027928006307158,50.38346855267592
