objectid,type,code_eunis,travauxbiodivdebut,travauxbiodivfin,ident,ventesdebois,commune,num_sap,nom_sap,num_sap_anc,fiabilite,statut,observation,proprietaire,gestionnaire,natura2000code,natura2000nom,nom_agent_n2000,tel_agent_n2000,canton_dnf,triage_dnf,tel_canton_dnf,agent_dnf,tel_agent_dnf,gps_lat,gps_long,symbo,gestiondiff,complet,travauxbiodiversite,regime_forestier,tonte,fauchage_cla,fauchage_tar,haie,surface_etan,debrousaillement,plandeau,desherbage,demoussage,clotureconf1,cloturenconf1,portailconf,clotureconf2,clotureconf3,portailnconf,cloturenconf2,cloturenconf3,plantation,fosseterre,fossebeton,caniveau,avaloir,panneaupv,refplan,debroussaillement_tar,plandeautechnique,degagementcloture,deneigement,salage,mm_lien
19281,PPR,,,,TER-195,,Dinant,S00172701,LISOGNE LT SU,,4,regul,,,,,,,,DIN,DORINNE,,,,,,PPR_autre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={3F709D46-CB7F-4534-90F2-F620EB72D5D1}
21043,IND,,,,TER-1974,,Daverdisse,S00252401,HAUT FAYS TR CE35+S,002524-T01,4,non-regul,,1014,1014,,,,,LIB,HAUT-FAYS,,,,,,IND_SWDE,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={FE1B939D-3C3C-4561-85D7-19C3BC8F8E45}
21010,IND,,,,TER-1941,,Ath,S00103202,MAINVAULT (HAUT),001032-T02,5,non-regul,Créé en fonction de l objet EP_SITE,,,,,,,MON,LESSINES,,,,,,IND_autre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={8ABC78C1-4018-4E03-927C-F5CB1B85D1EE}
21293,IND,,,,TER-2236,,Mons,S00126301,SPIENNES,001263-T01,4,non-regul,"P5379/8/5379/110/1-1-Autre feuillu, mélange av. feuillus âges multipl (FR-ER-CA-EP 22m²);P5379/8/5379/110/1-1-Autre feuillu, mélange av. feuillus âges multipl (FR-ER-CA-EP 22m²)",1014,1014,BE32019,Vallée de la Trouille,,,MON,MONS,,,,,,IND_SWDE,,,,,8000,,,,,16.92,,,6,,,,,,,,,,400,,5,3,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={DE6B5842-59CC-4561-A8AD-5D3E747FDDFB}
21433,IND,,,,TER-2388,,Trois-Ponts,S00222601,TROIS PONTS HOUVEGNEZ,002226-T01,4,non-regul,,1014,1014,BE33053,Noir Ru et Vallée du Rechterbach,,,SPA,WANNE,,,,,,IND_SWDE,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={719D0D72-11AA-45A9-B6E5-4A625ECC80FD}
22002,PPR,,,,TER-2969,,Chièvres,S00105901,HUISSIGNIES,001059-T01,5,regul,,,,,,,,MON,CHIEVRES,,,,,,PPR_autre,,,,,154,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={C7AEF81C-4A0B-43CD-B8BD-A3F86D330D8A}
22118,PPR,,,,TER-3088,,Olne,S00203901,OLNE CHINCHOTTE,002039-T01,5,regul,,,,,,,,VER,LA VESDRE,,,,,,PPR_autre,,,,,,1.81,,,,,,100,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={3719D99C-D965-41DA-8B75-C300C820AEB7}
22141,PPR,,,,TER-3110,,Fontaine-l'Evêque,002781-T01,FONTAINE L'EVEQUE GALERIE NORD T01,,5,regul,,,,BE32021,Haute-Sambre en aval de Thuin,,,NIV,PONT A CELLES,,,,,,PPR_autre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={091126F4-1F89-4DCC-AEFD-D50C5AAA6A4B}
22214,PPR,,,,TER-3191,,Rixensart,S00173801,RIXENSART CE,001738-T01,5,regul,,,,,,,,NIV,WAVRE,,,,,,PPR_autre,,,,,1701,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={4C489E58-E92B-4AF2-A790-9896E1537075}
22280,PPR,,,,TER-3267,,Les Bons Villers,S00157604,VILLERS PERWIN T B6,001576-T04,5,regul,,,,,,,,NIV,PONT A CELLES,,,,,,PPR_autre,,,,,9500,,,,,,,,327,,,,,,,,,,,,4,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={462E735F-51DC-4FC4-9A33-A922E87BF1AE}
